iter	RMSE
0	2.184604411
1	2.081578602
2	1.994003491
3	1.91129357
4	1.835320473
5	1.779313901
6	1.729127345
7	1.679550103
8	1.639075649
9	1.596016539
10	1.566001121
11	1.546384716
12	1.52250954
13	1.494030823
14	1.469810642
15	1.45628857
16	1.438765695
17	1.430446056
18	1.415795476
19	1.400473646
20	1.3926417
21	1.383072955
22	1.376231903
23	1.36890724
24	1.368096403
25	1.365994815
26	1.361168288
27	1.355702719
28	1.349610781
29	1.34634117
30	1.341815778
31	1.339794718
32	1.335011708
33	1.331863722
34	1.327749803
35	1.325345
36	1.323787793
37	1.32052532
38	1.318608372
39	1.315413373
40	1.311501902
41	1.310018114
42	1.30737347
43	1.305923364
44	1.304391933
45	1.301985766
46	1.299958563
47	1.297652571
48	1.295724523
49	1.294000317
